Make,Model,Year,Mileage,Price,Condition,Dealer,Image Link
Club Car,Golf Cart,2023,1000,165900,Vehicle in excellent condition,Dome (GP),https://photos.webuycars.co.za/photobooth/FC0C12379/Ext360/FC0C1237936000.webp
Toyota,Corolla Cross,2024,800,464900,Vehicle is better than average,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/1A2310549/Ext360/1A231054936000.webp
Renault,Kiger,2023,3112,220900,Normal wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/223312617/Ext360/22331261736000.webp
Suzuki,Grand Vitara,2024,824,333900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/235111715/Ext360/23511171536000.webp
KIA,Picanto,2023,3798,216900,Vehicle in excellent condition,George (WC),https://photos.webuycars.co.za/photobooth/242114419/Ext360/24211441936000.webp
Hyundai,Grand i10,2020,3000,207900,Normal wear and tear,Springfield (KZN),https://photos.webuycars.co.za/photobooth/353612217/Ext360/35361221736000.webp
Datsun,GO,2018,143000,90900,Normal wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/3F2300203/Ext360/3F230020336000.webp
Suzuki,Celerio,2022,2549,191900,Normal wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/3FC805973/Ext360/3FC80597336000.webp
Renault,Clio III,2013,126000,77900,Normal wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/476F15901/Ext360/476F1590136000.webp
Toyota,Vitz,2024,3924,196900,Vehicle is better than average,Richmond (WC),https://photos.webuycars.co.za/photobooth/4FF909179/Ext360/4FF90917936000.webp
Haval,H1,2019,14000,163900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/64F311334/Ext360/64F31133436000.webp
Hyundai,i10,2013,121000,90900,Normal wear and tear,George (WC),https://photos.webuycars.co.za/photobooth/7A4405122/Ext360/7A440512236000.webp
Hyundai,Grand i10,2024,2900,242900,Vehicle is better than average,Dome (GP),https://photos.webuycars.co.za/photobooth/7EC110173/Ext360/7EC11017336000.webp
Toyota,Fortuner,2024,1000,707900,Vehicle in excellent condition,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/F86910436/Ext360/F8691043636000.webp
Renault,Clio IV,2015,143591,94900,Normal wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/31F402814/Ext360/31F40281436000.webp
KIA,Picanto,2023,5300,229900,Vehicle in excellent condition,George (WC),https://photos.webuycars.co.za/photobooth/3CBA06434/Ext360/3CBA0643436000.webp
Renault,Kwid,2019,34689,96900,Shows signs of excessive wear and tear,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/4A5B12328/Ext360/4A5B1232836000.webp
Mini,Cooper Countryman,2024,1100,818900,Vehicle in excellent condition,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/588C08388/Ext360/588C0838836000.webp
GWM,M4,2018,21126,144900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/5B5515168/Ext360/5B551516836000.webp
KIA,Picanto,2023,5000,198900,Vehicle is better than average,Dome (GP),https://photos.webuycars.co.za/photobooth/60B309771/Ext360/60B30977136000.webp
Hyundai,Venue,2023,4000,241900,Normal wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/611909389/Ext360/61190938936000.webp
Audi,A4,2014,152000,97900,Shows signs of excessive wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/655104438/Ext360/65510443836000.webp
Mercedes-Benz,GLE,2021,1193,2270900,Vehicle in excellent condition,Dome (GP),https://photos.webuycars.co.za/photobooth/67DC00294/Ext360/67DC0029436000.webp
Renault,Triber,2024,16000,178900,Normal wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/6AFA03469/Ext360/6AFA0346936000.webp
Honda,Jazz,2010,165000,94900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/723312529/Ext360/72331252936000.webp
Renault,Kiger,2022,19485,166900,Shows signs of excessive wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/83B809127/Ext360/83B80912736000.webp
Suzuki,Celerio,2023,4000,202900,Vehicle is better than average,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/876609768/Ext360/87660976836000.webp
Toyota,Etios,2012,147000,92900,Normal wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/A27709313/Ext360/A2770931336000.webp
Mini,Cooper Countryman,2024,1047,693900,Vehicle is better than average,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/A38C02050/Ext360/A38C0205036000.webp
Chery,Tiggo 4 Pro,2024,1225,311900,Vehicle is better than average,JHB South (GP),https://photos.webuycars.co.za/photobooth/A65708914/Ext360/A6570891436000.webp
Chery,Tiggo 4,2024,5000,265900,Vehicle is better than average,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/BF0E14200/Ext360/BF0E1420036000.webp
Volkswagen,Up!,2019,18500,177900,Normal wear and tear,Mbombela (MP),https://photos.webuycars.co.za/photobooth/C28104086/Ext360/C2810408636000.webp
Datsun,GO,2017,29000,78900,Shows signs of excessive wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/C68205306/Ext360/C6820530636000.webp
Suzuki,Swift,2023,4300,204900,Vehicle is better than average,JHB South (GP),https://photos.webuycars.co.za/photobooth/D65D05310/Ext360/D65D0531036000.webp
Suzuki,S-Presso,2022,17333,141900,Shows signs of excessive wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/E48503957/Ext360/E4850395736000.webp
Renault,Kwid,2022,20000,170900,Shows signs of excessive wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/E4B703506/Ext360/E4B70350636000.webp
Datsun,GO,2021,20000,148900,Shows signs of excessive wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/EAC105045/Ext360/EAC10504536000.webp
Hyundai,i10,2011,55905,97900,Vehicle is better than average,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/048C11735/Ext360/048C1173536000.webp
Porsche,Macan,2023,3000,1404900,Vehicle in excellent condition,JHB South (GP),https://photos.webuycars.co.za/photobooth/021614344/Ext360/02161434436000.webp
Haval,H2 Jolion,2023,2309,329900,Vehicle is better than average,Springfield (KZN),https://photos.webuycars.co.za/photobooth/063211899/Ext360/06321189936000.webp
Suzuki,S-Presso,2022,21890,142900,Normal wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/0A2716068/Ext360/0A271606836000.webp
Suzuki,S-Presso,2020,23000,139900,Vehicle is better than average,East London (EC),https://photos.webuycars.co.za/photobooth/0D4508319/Ext360/0D450831936000.webp
Ford,Figo,2020,22000,176900,Shows signs of excessive wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/17D310189/Ext360/17D31018936000.webp
Suzuki,Swift,2023,6000,222900,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/2DA606349/Ext360/2DA60634936000.webp
Toyota,Starlet,2022,6200,281900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/409713430/Ext360/40971343036000.webp
Hyundai,i10,2013,60298,94900,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/4BE306771/Ext360/4BE30677136000.webp
Chery,Tiggo 4 Pro,2022,3000,326900,Normal wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/500603166/Ext360/50060316636000.webp
Renault,Kwid,2023,24000,153900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/579415088/Ext360/57941508836000.webp
Chevrolet,Spark,2010,73000,64900,Shows signs of excessive wear and tear,Epping (WC),https://photos.webuycars.co.za/photobooth/673405572/Ext360/67340557236000.webp
Renault,Kiger,2023,5529,202900,Vehicle is better than average,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/747303249/Ext360/74730324936000.webp
Hyundai,Elantra,2019,5604,275900,Vehicle is better than average,Epping (WC),https://photos.webuycars.co.za/photobooth/949713569/Ext360/94971356936000.webp
Suzuki,Swift,2024,6500,226900,Vehicle in excellent condition,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/973C03203/Ext360/973C0320336000.webp
Renault,Kwid,2022,23000,128900,Shows signs of excessive wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/986E13785/Ext360/986E1378536000.webp
Renault,Kwid,2017,45854,91900,Normal wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/9B0309279/Ext360/9B030927936000.webp
Suzuki,Swift,2023,2578,431900,Vehicle in excellent condition,Germiston (GP),https://photos.webuycars.co.za/photobooth/9DD911178/Ext360/9DD91117836000.webp
Fiat,500,2012,75500,59900,Shows signs of excessive wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/C09106833/Ext360/C0910683336000.webp
Toyota,Starlet,2024,1603,335900,Vehicle is better than average,George (WC),https://photos.webuycars.co.za/photobooth/C4B602734/Ext360/C4B60273436000.webp
Renault,Kwid,2022,23000,144900,Normal wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/CD4212911/Ext360/CD421291136000.webp
Renault,Kwid,2019,66900,88900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/CFB003623/Ext360/CFB00362336000.webp
Renault,Kwid,2022,24000,158900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/D19307968/Ext360/D1930796836000.webp
Chevrolet,Spark,2017,74000,87900,Normal wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/EF3001195/Ext360/EF300119536000.webp
Renault,Kiger,2023,6000,204900,Normal wear and tear,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/FAEC10647/Ext360/FAEC1064736000.webp
Suzuki,Baleno,2023,6000,236900,Normal wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/FBC610914/Ext360/FBC61091436000.webp
KIA,Picanto,2020,30000,178900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/07C607532/Ext360/07C60753236000.webp
Suzuki,Swift,2024,6836,226900,Normal wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/09F009098/Ext360/09F00909836000.webp
Chery,Tiggo 4 Pro,2024,7252,293900,Vehicle is better than average,JHB South (GP),https://photos.webuycars.co.za/photobooth/0A0015838/Ext360/0A001583836000.webp
Datsun,GO,2016,77319,83900,Shows signs of excessive wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/125610357/Ext360/12561035736000.webp
Fiat,500,2015,84000,97900,Shows signs of excessive wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/23AD12614/Ext360/23AD1261436000.webp
Chery,Tiggo 4 Pro,2024,3870,336900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/373312418/Ext360/37331241836000.webp
Fiat,500,2023,7000,271900,Vehicle is better than average,Dome (GP),https://photos.webuycars.co.za/photobooth/3BE708606/Ext360/3BE70860636000.webp
Hyundai,i20,2023,7000,223900,Vehicle is better than average,Springfield (KZN),https://photos.webuycars.co.za/photobooth/437D12107/Ext360/437D1210736000.webp
Renault,Kwid,2022,31000,137900,Vehicle is better than average,Midstream (GP),https://photos.webuycars.co.za/photobooth/47CA12000/Ext360/47CA1200036000.webp
Renault,Kwid,2019,82000,85900,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/44E212568/Ext360/44E21256836000.webp
Ford,Ecosport,2014,29394,181900,Normal wear and tear,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/44E910446/Ext360/44E91044636000.webp
Honda,Amaze,2019,26000,179900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/4C4710594/Ext360/4C471059436000.webp
Ford,Fiesta,2014,81781,90900,Shows signs of excessive wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/539711089/Ext360/53971108936000.webp
Opel,Crossland,2023,7000,223900,Normal wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/56FF08913/Ext360/56FF0891336000.webp
Audi,TT,2014,3000,311900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/706906070/Ext360/70690607036000.webp
Opel,Corsa,2020,31000,150900,Vehicle is better than average,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/8D3107909/Ext360/8D310790936000.webp
Mahindra,KUV 100 NXT,2016,83900,84900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/8D4F09749/Ext360/8D4F0974936000.webp
